,result,table,_start,_stop,_time,Table,Tag1,_measurement,asset_id,assetattribute_id,synced,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:00Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,7b3398c0-bbff-41e8-8601-9186e326cb73,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:01Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,6bdcfb85-0170-4ff5-b315-1120fd5bb963,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:02Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,4325dce2-57e0-48af-8ca9-10658b48ae12,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:03Z,AssetAttributeMapping,Asset,ConfigData,b5169fb3-4ae3-4c6e-9d75-b91210ce1851,4e914241-af7a-456a-975a-ba24a23d55d7,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:04Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,0f0ec863-7785-4fe4-a433-e5b685be8bc3,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:05Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,94b726d2-ec35-41e9-91a8-1226e317642d,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:06Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,2439bf89-4f0b-4dc5-bbe1-6ef7290240cf,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:07Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,175fac4e-232d-4ae6-b277-7d122a6f4056,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:08Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,80f6a59b-c1b5-41bb-8c40-403dab92c5b8,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:09Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,d7a3fb8d-bc64-43f3-9ca3-a78ad8000d0c,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:10Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,7f389438-1322-442c-8e9b-99d70bf9cb04,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:11Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,7b3398c0-bbff-41e8-8601-9186e326cb73,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:12Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,6bdcfb85-0170-4ff5-b315-1120fd5bb963,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:13Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,4325dce2-57e0-48af-8ca9-10658b48ae12,1,,,,,,
,,1,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:31:14Z,AssetAttributeMapping,Asset,ConfigData,c6080c69-cda4-4889-8e31-56ab01579245,4e914241-af7a-456a-975a-ba24a23d55d7,1,,,,,,
,,,,,,,,,,,,,,,,,
#group,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,long,,,,,,
#default,_result,,,,,,,,,,,,,,,,
,result,table,_start,_stop,_time,Table,Tag1,_measurement,assetattribute_id,attribute_name,synced,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:09Z,AssetAttributes,Asset,ConfigData,0f0ec863-7785-4fe4-a433-e5b685be8bc3,shift,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:10Z,AssetAttributes,Asset,ConfigData,94b726d2-ec35-41e9-91a8-1226e317642d,operator,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:11Z,AssetAttributes,Asset,ConfigData,2439bf89-4f0b-4dc5-bbe1-6ef7290240cf,production_kg,1,,,,,,
,,2,1970-01-01T00:00:00Z,2023-07-11T07:28:21.933980014Z,2023-04-25T00:30:12Z,AssetAttributes,Asset,ConfigData,175fac4e-232d-4ae6-b277-7d122a6f4056,emulsion_brix,1,,,,,,
